Tiempo(seg),Temperatura 1,Temperatura 2,Temperatura 3,Temperatura 4,Temperatura 5,Temperatura 6,Temperatura 7,Temperatura 8,Temperatura 9,Temperatura 10
 75, 847.713300987615, 847.712067216498, 847.639198409051, 847.475443371773, 847.189316822729, 846.745387264757, 846.104341483088, 845.223210044811, 844.0567595877, 842.560299879928
 75.5, 847.683116329898, 847.681879174125, 847.608810647744, 847.444624759947, 847.157805727034, 846.712943012649, 846.070814453614, 845.188613240093, 844.021316157954, 842.5244375132
 76, 847.652850706408, 847.651610232152, 847.578345891629, 847.413737592505, 847.126239690043, 846.680462278442, 846.037272563671, 845.154023252618, 843.985897175133, 842.488609113119
 76.5, 847.622505701599, 847.621261973801, 847.54780565126, 847.382783222331, 847.094619808369, 846.647945807315, 846.003716140791, 845.119439984436, 843.950502190015, 842.452814038627
 77, 847.592082870381, 847.590835952772, 847.517191408876, 847.351762976663, 847.062947157421, 846.615394329587, 845.970145505546, 845.084863339095, 843.915130762168, 842.41705166156
 77.5, 847.561583738618, 847.560333693735, 847.486504618889, 847.320678157542, 847.031222791809, 846.582808561025, 845.936560971725, 845.050293221637, 843.879782459777, 842.381321366372
 78, 847.531009803611, 847.529756692825, 847.455746708358, 847.289530042267, 846.999447745739, 846.550189203148, 845.902962846488, 845.01572953859, 843.84445685947, 842.345622549871
 78.5, 847.500362534596, 847.499106418124, 847.424919077466, 847.258319883838, 846.967623033397, 846.51753694352, 845.869351430534, 844.981172197965, 843.809153546158, 842.309954620953
 79, 847.469643373211, 847.46838431014, 847.394023099985, 847.227048911391, 846.935749649338, 846.484852456041, 845.83572701825, 844.946621109242, 843.773872112866, 842.274317000351
 79.5, 847.43885373398, 847.437591782287, 847.36306012374, 847.195718330634, 846.903828568852, 846.452136401226, 845.802089897862, 844.912076183364, 843.738612160581, 842.238709120383
 80, 847.407995004778, 847.406730221347, 847.332031471059, 847.164329324265, 846.871860748337, 846.41938942648, 845.76844035158, 844.877537332726, 843.703373298086, 842.203130424708
